,"CHILDREN IN
SINGLE-PARENT FAMILIES:
2018","CHILDREN IN
SINGLE-PARENT FAMILIES:
2018","CHILDREN IN FAMILIES
WHERE THE HOUSEHOLD
HEAD LACKS A HIGH SCHOOL
DIPLOMA: 2018",CHILDREN IN FAMILIES WHERE THE HOUSEHOLD HEAD LACKS A HIGH SCHOOL DIPLOMA: 2018,CHILDREN LIVING IN HIGH-POVERTY AREAS: 2014Ð18,"CHILDREN LIVING IN
HIGH-POVERTY AREAS:
2014Ð18","TEEN BIRTHS PER 1,000:
2018","TEEN BIRTHS PER 1,000:
2018"
,Number,Percentage,Number,Percentage,Number,Percentage,Number,Percentage
United States,"2,39,80,000",35,"92,05,000",13,"77,17,000",10,"1,79,871",17
Alabama,"3,90,000",39,"1,24,000",11,"1,60,000",15,"3,924",25
Alaska,"50,000",29,"12,000",6,"13,000",7,423,19
Arizona,"5,82,000",38,"2,59,000",16,"2,86,000",18,"4,650",20
Arkansas,"2,53,000",39,"81,000",12,"81,000",12,"2,928",30
California,"28,54,000",33,"17,59,000",20,"9,64,000",11,"16,929",14
Colorado,"3,30,000",27,"1,24,000",10,"53,000",4,"2,522",14
Connecticut,"2,43,000",34,"61,000",8,"59,000",8,988,8
Delaware,"76,000",40,"18,000",9,"7,000",3,497,17
"District of	Columbia","65,000",54,"16,000",13,"27,000",23,373,19
Florida,"15,76,000",39,"4,68,000",11,"4,11,000",10,"9,829",17
Georgia,"9,14,000",39,"3,24,000",13,"2,88,000",12,"7,385",21
Hawaii,"86,000",30,"19,000",6,"14,000",5,643,17
Idaho,"1,05,000",25,"46,000",10,"17,000",4,972,16
Illinois,"9,29,000",34,"3,17,000",11,"2,68,000",9,"6,399",16
Indiana,"5,06,000",35,"1,74,000",11,"1,54,000",10,"4,840",22
Iowa,"2,19,000",31,"56,000",8,"20,000",3,"1,603",15
Kansas,"1,93,000",29,"82,000",12,"47,000",7,"1,933",20
Kentucky,"3,24,000",35,"1,04,000",10,"1,54,000",15,"3,816",27
Louisiana,"4,67,000",46,"1,32,000",12,"2,18,000",20,"3,991",28
Maine,"73,000",31,"12,000",5,"9,000",4,419,11
Maryland,"4,31,000",34,"1,31,000",10,"56,000",4,"2,645",14
Massachusetts,"4,04,000",31,"1,21,000",9,"84,000",6,"1,638",7
Michigan,"7,26,000",35,"1,93,000",9,"3,09,000",14,"5,042",16
Minnesota,"3,48,000",28,"1,09,000",8,"57,000",4,"1,794",10
Mississippi,"2,90,000",44,"87,000",12,"1,63,000",23,"2,808",28
Missouri,"4,47,000",34,"1,27,000",9,"1,19,000",9,"4,109",22
Montana,"61,000",29,"11,000",5,"17,000",8,531,17
Nebraska,"1,27,000",28,"43,000",9,"24,000",5,"1,073",17
Nevada,"2,56,000",39,"1,20,000",17,"60,000",9,"1,800",21
New Hampshire,"74,000",30,"12,000",5,"3,000",1,334,8
New Jersey,"5,50,000",29,"1,81,000",9,"1,54,000",8,"2,814",10
New Mexico,"1,84,000",41,"72,000",15,"1,05,000",21,"1,724",25
New Hampshire,"13,31,000",35,"5,45,000",13,"6,66,000",16,"6,847",12
North Carolina,"7,85,000",36,"2,86,000",12,"2,13,000",9,"6,303",19
North Dakota,"46,000",27,"9,000",5,"10,000",6,372,16
Ohio,"9,24,000",38,"2,36,000",9,"3,21,000",12,"7,044",19
Oklahoma,"3,24,000",36,"1,10,000",12,"1,05,000",11,"3,492",27
Oregon,"2,47,000",30,"1,13,000",13,"35,000",4,"1,598",13
Pennsylvania,"8,76,000",35,"2,55,000",10,"2,89,000",11,"5,599",14
Puerto Rico,"3,48,000",62,"69,000",12,"5,81,000",84,"1,935",19
Rhode Island,"75,000",38,"19,000",10,"27,000",13,411,11
South Carolina,"4,29,000",41,"1,06,000",10,"1,20,000",11,"3,481",22
South Dakota,"62,000",31,"14,000",6,"22,000",10,565,20
Tennessee,"5,34,000",38,"1,84,000",12,"1,81,000",12,"5,258",25
Texas,"24,51,000",35,"13,76,000",19,"10,14,000",14,"25,089",25
Utah,"1,74,000",19,"71,000",8,"19,000",2,"1,604",13
Vermont,"33,000",31,"4,000",4,"3,000",2,182,9
Virginia,"5,60,000",32,"1,61,000",9,"91,000",5,"3,803",14
Washington,"4,58,000",29,"1,80,000",11,"63,000",4,"2,762",13
West Virginia,"1,21,000",37,"30,000",8,"34,000",9,"1,317",25
Wisconsin,"3,83,000",32,"1,01,000",8,"1,01,000",8,"2,406",13
Wyoming,"35,000",28,"7,000",6,"1,000",0,362,21
